stationId,value,timestamp,query_timestamp
S218,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S219,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S216,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S217,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S214,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S215,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S213,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S81,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S40,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S84,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S88,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S43,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S89,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S06,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S221,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S222,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S08,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S07,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S220,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S207,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S208,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S203,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S201,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S90,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S92,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S209,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S50,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S94,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S210,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S211,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S119,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
S117,0.0,2025-01-01T00:00:00+08:00,2025-01-01T00:00:00
